batch_size,dts,fps
1,0.0034020479943137616,293.9405915705529
1,0.0033307350240647793,300.23403025906725
1,0.003466453024884686,288.479316702486
1,0.0033248449908569455,300.76590119236204
1,0.003287362022092566,304.19527672326495
1,0.0033698960032779723,296.74506246699536
1,0.0032373639987781644,308.89328490012764
1,0.0032580780098214746,306.9294218817046
1,0.003264603001298383,306.31595927660567
1,0.0033366050047334284,299.7058382941235
1,0.003492730000289157,286.30899036490416
1,0.0033105509937740862,302.06452094549445
1,0.0032543980050832033,307.27649120914253
1,0.0032313260016962886,309.4704772824063
1,0.0033159909944515675,301.5689733998781
1,0.003204751992598176,312.03662633166005
1,0.003448489005677402,289.9820757304591
1,0.0032513219921384007,307.56719956312236
1,0.0033252180146519095,300.73216119776197
1,0.003420773980906233,292.33150321585396
1,0.0031947570096235722,313.01285105180085
1,0.0032487910066265613,307.8068111984733
1,0.0032811489945743233,304.77128641631043
1,0.0032928140135481954,303.69161327834695
1,0.003259051009081304,306.83778720048036
1,0.003196562989614904,312.8360064384253
1,0.0032747939985711128,305.3627191317466
1,0.0033625570067670196,297.3927276139966
1,0.0033784319821279496,295.99530352839514
1,0.003369973012013361,296.7382814150665
1,0.00323179698898457,309.4253764727344
1,0.0033254869922529906,300.70783687609855
1,0.003262596990680322,306.5042979125284
1,0.0033692220167722553,296.8044239951895
1,0.0032749390229582787,305.34919672998734
1,0.0034525289956945926,289.6427520947775
1,0.003420059016207233,292.39261523299007
1,0.003195779980160296,312.91265550447605
1,0.003323846001876518,300.8562970232188
1,0.0033004030119627714,302.993300022864
1,0.003403117007110268,293.84825673365333
1,0.003284874983364716,304.4255885122588
1,0.003378120018169284,296.0226382193293
1,0.0033132300013676286,301.82027797261946
1,0.0034810840152204037,287.26683861339825
1,0.0032873720047064126,304.1943529872299
1,0.0033851000189315528,295.4122461396672
1,0.003390669997315854,294.9269615714968
1,0.0034247699950356036,291.9904114581581
1,0.003344352007843554,299.01158659575503
1,0.0034674410126172006,288.39711947838066
1,0.0032952089968603104,303.4708878716963
1,0.003371239989064634,296.62676144199827
1,0.0032988860039040446,303.13263289988095
1,0.003323739016195759,300.86598109154994
1,0.0033629979880061,297.35373127383093
1,0.003275441995356232,305.3023077245004
1,0.003378681023605168,295.9734858110299
1,0.0033549490035511553,298.06712380471873
1,0.0033191499824170023,301.2819563133453
1,0.00331833100062795,301.3563143070307
1,0.0033753030002117157,296.2696978426159
1,0.0032824960071593523,304.64621977267615
1,0.003180460014846176,314.4199252095818
1,0.0033492800139356405,298.5716320639699
1,0.0033763220126274973,296.1802802753956
1,0.0032983119890559465,303.18538795543816
1,0.00327832400216721,305.03391346887236
1,0.0032264259934891015,309.9404734582448
1,0.003245585976401344,308.11077175924476
1,0.003227184002753347,309.8676738440779
1,0.0032794540165923536,304.92880672834974
1,0.00337775400839746,296.0547149123034
1,0.0034114010049961507,293.13469701611007
1,0.0033015540102496743,302.8876695324384
1,0.0032886920089367777,304.0722564723525
1,0.0033788930159062147,295.9549163860701
1,0.0033064790186472237,302.4365176250624
1,0.00332518300274387,300.73532770221107
1,0.003334709006594494,299.8762404822933
1,0.003301002987427637,302.9382293226178
1,0.0033418219827581197,299.2379621534077
1,0.003342065989272669,299.2161145859448
1,0.003446276008617133,290.1682852736059
1,0.0032627430045977235,306.4905812657758
1,0.0033910020138137043,294.89808496909325
1,0.0033372240141034126,299.6502469639164
1,0.0033383709960617125,299.5472945276913
1,0.003522906015859917,283.8565648637967
1,0.0032576700032223016,306.96786323073144
1,0.003283928002929315,304.5133751738724
1,0.0035595060035120696,280.93786020119836
1,0.003251081012422219,307.5899973513578
