epoch,CenteredInstanceConfmapsHead_loss,ClassVectorsHead_accuracy,ClassVectorsHead_loss,loss,lr,val_CenteredInstanceConfmapsHead_loss,val_ClassVectorsHead_accuracy,val_ClassVectorsHead_loss,val_loss
0,0.0010114922188222408,0.6221874952316284,0.6916683316230774,0.0010806587524712086,1e-04,0.0009450255893170834,0.6924999952316284,0.6847212910652161,0.001013497356325388
1,0.0008554304367862642,0.8056250214576721,0.49500665068626404,0.0009049309883266687,1e-04,0.0007655630470253527,0.9225000143051147,0.22928372025489807,0.0007884912774898112
2,0.0007328189094550908,0.9203125238418579,0.20964044332504272,0.0007537837373092771,1e-04,0.0006834452506154776,0.9200000166893005,0.20990371704101562,0.0007044356898404658
3,0.0006598812178708613,0.9440624713897705,0.16807422041893005,0.0006766880978830159,1e-04,0.0006347477901726961,0.9524999856948853,0.11793778091669083,0.000646541710011661
4,0.0006113472045399249,0.9481250047683716,0.14828890562057495,0.0006261754897423089,1e-04,0.0005902147968299687,0.9750000238418579,0.12189649790525436,0.0006024042959325016
5,0.0005685628857463598,0.9590625166893005,0.12866710126399994,0.00058142957277596,1e-04,0.0005536332610063255,0.9674999713897705,0.10111512243747711,0.0005637446884065866
6,0.0005375377368181944,0.9628124833106995,0.12736591696739197,0.0005502742133103311,1e-04,0.0005135861574672163,0.9825000166893005,0.0822056382894516,0.0005218067090027034
7,0.0005108008626848459,0.9596874713897705,0.12177038937807083,0.0005229772650636733,1e-04,0.000492157822009176,0.9399999976158142,0.15836544334888458,0.0005079944967292249
8,0.0004899226478300989,0.9628124833106995,0.1167793869972229,0.0005016006762161851,1e-04,0.00047609340981580317,0.9624999761581421,0.12534834444522858,0.0004886282840743661
9,0.0004723655292764306,0.9662500023841858,0.11180892586708069,0.0004835458821617067,1e-04,0.00045260193292051554,0.9674999713897705,0.08667338639497757,0.0004612691991496831
10,0.0004551685706246644,0.96875,0.10308577865362167,0.000465476798126474,1e-04,0.00043956824811175466,0.9674999713897705,0.0970069095492363,0.0004492689622566104
11,0.0004350622766651213,0.9690625071525574,0.10068082064390182,0.0004451304266694933,1e-04,0.00041871186112985015,0.9725000262260437,0.09241750836372375,0.00042795340414159
12,0.0004150472523178905,0.9715625047683716,0.10018488019704819,0.0004250652273185551,1e-04,0.0004059999482706189,0.9674999713897705,0.10606462508440018,0.0004166064318269491
13,0.00039573709364049137,0.9721875190734863,0.0905214250087738,0.00040478951996192336,1e-04,0.0003730032476596534,0.9775000214576721,0.08607086539268494,0.00038161047268658876
14,0.00037495832657441497,0.9709374904632568,0.09597022086381912,0.0003845554601866752,1e-04,0.00035558539093472064,0.9700000286102295,0.10094323009252548,0.0003656797343865037
15,0.00035806157393381,0.9715625047683716,0.09113235771656036,0.00036717462353408337,1e-04,0.0003309521125629544,0.9649999737739563,0.10976545512676239,0.000341928651323542
16,0.00033815993811003864,0.9775000214576721,0.08467479050159454,0.00034662766847759485,1e-04,0.0003237400087527931,0.9649999737739563,0.1091739684343338,0.00033465735032223165
17,0.0003237586061004549,0.9781249761581421,0.07779332995414734,0.0003315382928121835,1e-04,0.0003007850900758058,0.9549999833106995,0.1308910846710205,0.0003138741885777563
18,0.0003123271162621677,0.9753124713897705,0.08304869383573532,0.000320631661452353,1e-04,0.00030019774567335844,0.9549999833106995,0.12267576903104782,0.0003124652721453458
19,0.0003033146494999528,0.9759374856948853,0.08213461935520172,0.00031152821611613035,1e-04,0.00028198875952512026,0.9800000190734863,0.0832887664437294,0.0002903175773099065
20,0.0002948176406789571,0.9778125286102295,0.07759305834770203,0.00030257704202085733,1e-04,0.0002813735918607563,0.9750000238418579,0.09267407655715942,0.0002906409790739417
21,0.0002889513270929456,0.9809374809265137,0.07665999233722687,0.000296617450658232,1e-04,0.00026790908304974437,0.9674999713897705,0.0801377221941948,0.0002759227645583451
22,0.00028185336850583553,0.9825000166893005,0.07247986644506454,0.00028910100809298456,1e-04,0.00026355203590355814,0.9800000190734863,0.08130662888288498,0.0002716825983952731
23,0.0002780213544610888,0.9818750023841858,0.07249453663825989,0.00028527065296657383,1e-04,0.00026184157468378544,0.9775000214576721,0.07981045544147491,0.0002698225143831223
24,0.0002727369137573987,0.9825000166893005,0.06869520992040634,0.00027960643637925386,1e-04,0.00026464092661626637,0.9775000214576721,0.08896353095769882,0.0002735373273026198
25,0.0002694198046810925,0.9731249809265137,0.08195194602012634,0.0002776149776764214,1e-04,0.000256907514994964,0.987500011920929,0.06926024705171585,0.00026383352815173566
